idx,control_type,name,automation_id,class_name,rect,depth
102,Image,,,,"(L1673, T275, R1688, B290)",8
103,Text,FAA: JACKSONVILLE AIR ROUTE TRAFFIC CONTROL CENTER EXPERIENCING A TELECOMMUNICATIONS ISSUE THAT BEGAN EARLIER TODAY,,,"(L1672, T274, R2484, B307)",8
104,Text,01:14:47,,,"(L1602, T299, R1650, B315)",8
105,Image,,,,"(L1673, T299, R1688, B314)",8
106,Text,ISRAELI MILITARY SAYS A NEW WAVE OF ATTACKS AGAINST MISSILE STORAGE AND LAUNCH INFRASTRUCTURE IN IRAN HAS BEGUN,,,"(L1672, T298, R2493, B331)",8
107,Text,00:57:17,,,"(L1602, T324, R1650, B340)",8
108,Image,,,,"(L1673, T324, R1688, B339)",8
109,Text,"MARATHON ASSESSING DAMAGE AT GALVESTON BAY REFINERY IN TEXAS FROM JUNE 14 FIRE, SOURCES SAY",,,"(L1691, T323, R2393, B340)",8
110,Text,00:56:41,,,"(L1602, T349, R1650, B365)",8
111,Image,,,,"(L1673, T349, R1688, B364)",8
112,Text,"ISRAELI MILITARY INSTRUCTS RESIDENTS THEY ARE NOW PERMITTED TO LEAVE PROTECTED AREAS, SIGNALING THREAT FROM LATEST IRANIAN ATTACK IS OVER",,,"(L1672, T348, R2513, B381)",8
113,Text,00:42:14,,,"(L1602, T374, R1650, B390)",8
114,Image,,,,"(L1673, T374, R1688, B389)",8
115,Text,SEVERAL EXPLOSIONS HEARD OVER TEL AVIV - REUTERS WITNESS,,,"(L1691, T372, R2118, B389)",8
116,Text,00:36:18,,,"(L1602, T398, R1650, B414)",8
117,Image,,,,"(L1673, T398, R1688, B413)",8
118,Text,ISRAELI MILITARY SAYS MISSILES LAUNCHED FROM IRAN TOWARDS ISRAEL,,,"(L1691, T397, R2170, B414)",8
119,Text,00:14:59,,,"(L1602, T423, R1650, B439)",8
120,Image,,,,"(L1673, T423, R1688, B438)",8
121,Text,"U.S., EU NEAR DEAL ON NON-TARIFF TRADE IRRITANTS - WSJ",,,"(L1691, T422, R2079, B439)",8
122,Text,20 June 2025,,,"(L1601, T445, R1685, B462)",8
123,Text,23:25:12,,,"(L1602, T470, R1650, B486)",8
124,Image,,,,"(L1673, T471, R1688, B486)",8
125,Text,"U.S. JUDGE BLOCKS TRUMP ADMINISTRATION FROM SLASHING UNIVERSITIES' FUNDING FROM NATIONAL SCIENCE FOUNDATION, RULING SAYS",,,"(L1672, T469, R2436, B502)",8
126,Group,,,,"(L2498, T469, R2526, B486)",8
127,Text,RPT,,,"(L2502, T471, R2522, B484)",9
128,Text,23:24:10,,,"(L1602, T495, R1650, B511)",8
129,Image,,,,"(L1673, T495, R1688, B510)",8
130,Text,"U.S. JUDGE BLOCKS TRUMP ADMINISTRATION FROM SLASHING UNIVERSITIES' FUNDING FROM NATIONAL SCIENCE FOUNDATION, RULING SAYS",,,"(L1672, T494, R2517, B527)",8
131,Text,22:59:11,,,"(L1602, T520, R1650, B536)",8
132,Image,,,,"(L1673, T520, R1688, B535)",8
133,Text,"TRUMP: MAYBE, I'LL HAVE TO CHANGE MY MIND ABOUT FIRING POWELL",,,"(L1691, T519, R2154, B536)",8
134,Text,22:50:02,,,"(L1602, T545, R1650, B561)",8
135,Image,,,,"(L1673, T545, R1688, B560)",8
136,Text,DEPARTMENT OF LABOR SAYS IT IS SUSPENDING ENFORCEMENT OF THE BIDEN ADMINISTRATION’S 2024 (NOT 2924) FARMWORKER RULE,,,"(L1672, T544, R2448, B577)",8
137,Group,,,,"(L2455, T543, R2526, B560)",8
138,Text,CORRECTED,,,"(L2459, T545, R2522, B558)",9
139,Text,22:22:20,,,"(L1602, T569, R1650, B585)",8
140,Image,,,,"(L1673, T569, R1688, B584)",8
141,Text,"NORWAY'S STYRKE LABOUR UNION: HAS AGREED WAGE DEAL FOR OIL DRILLING WORKERS, WILL NOT GO ON STRIKE",,,"(L1691, T568, R2441, B585)",8
142,Text,22:19:15,,,"(L1602, T594, R1650, B610)",8
143,Image,,,,"(L1673, T594, R1688, B609)",8
144,Text,U.S. HIGHWAY SAFETY OFFICIALS SAY THEY ARE REVIEWING INFORMATION FROM TESLA ABOUT THE SELF-DRIVING ROBOTAXI,,,"(L1691, T593, R2503, B610)",8
145,Text,21:51:09,,,"(L1602, T619, R1650, B635)",8
146,Image,,,,"(L1673, T619, R1688, B634)",8
147,Text,CANADIAN DOLLAR CAD= TOUCHES WEAKEST SINCE MAY 30 AT 1.3747 PER U.S. DOLLAR,,,"(L1691, T618, R2261, B635)",8
148,Text,21:42:42,,,"(L1602, T644, R1650, B659)",8
149,Image,,,,"(L1673, T644, R1688, B659)",8
150,Text,TOP PENTAGON SPY PICK REJECTED BY WHITE HOUSE -POLITICO,,,"(L1691, T642, R2111, B659)",8
151,Text,21:36:26,,,"(L1602, T668, R1650, B684)",8
152,Image,,,,"(L1673, T668, R1688, B683)",8
153,Text,ISRAELI MILITARY SAYS IT HAS COMPLETED ANOTHER WAVE OF STRIKES ON MISSILE LAUNCH SITES IN WESTERN IRAN IN RECENT HOURS,,,"(L1672, T667, R2522, B700)",8
154,Text,21:11:47,,,"(L1602, T693, R1650, B709)",8
155,Image,,,,"(L1673, T693, R1688, B708)",8
156,Text,DALY: ADDITIONAL SOFTENING IN LABOR MARKET COULD EASILY TURN INTO WEAKENING; CAN'T LET THAT HAPPEN,,,"(L1691, T692, R2435, B709)",8
157,Text,21:10:52,,,"(L1602, T718, R1650, B734)",8
158,Image,,,,"(L1673, T718, R1688, B733)",8
159,Text,DALY: BUT IT'S TOO EARLY TO CALL THAT NOW,,,"(L1691, T717, R1992, B734)",8
160,Text,21:10:46,,,"(L1602, T742, R1650, B758)",8
161,Image,,,,"(L1673, T742, R1688, B757)",8
162,Text,DALY: THERE'S A LOT TO BE SAID FOR THE VIEW THAT TARIFFS WILL HAVE A ONE-TIME EFFECT ON INFLATION,,,"(L1691, T741, R2393, B758)",8
163,Text,21:07:20,,,"(L1602, T767, R1650, B783)",8
164,Image,,,,"(L1673, T767, R1688, B782)",8
165,Text,"DALY: UNLESS SAW FALTERING LABOR MARKET, FALL LOOKS MORE APPROPRIATE FOR RATE CUT",,,"(L1691, T766, R2310, B783)",8
166,Text,21:06:58,,,"(L1602, T792, R1650, B808)",8
167,Image,,,,"(L1673, T792, R1688, B807)",8
168,Text,"DALY: LOOK MORE TO THE FALL, RATHER THAN JULY, FOR POSSIBLE RATE CUT",,,"(L1691, T791, R2194, B808)",8
169,Text,21:06:34,,,"(L1602, T817, R1650, B833)",8
170,Image,,,,"(L1673, T817, R1688, B832)",8
171,Text,DALY: CEOS HAVE CAUTIOUS OPTIMISM ON TARIFFS,,,"(L1691, T815, R2026, B832)",8
172,Text,21:06:10,,,"(L0, T0, R0, B0)",8
173,Image,,,,"(L0, T0, R0, B0)",8
174,Text,DALY: ALSO POSSIBLE TARIFFS WON'T HAVE AS MUCH IMPACT ON INFLATION,,,"(L0, T0, R0, B0)",8
175,Text,21:05:58,,,"(L0, T0, R0, B0)",8
176,Image,,,,"(L0, T0, R0, B0)",8
177,Text,DALY: POSSIBLE WE COULD GET A MEANINGFUL IMPACT ON INFLATION,,,"(L0, T0, R0, B0)",8
178,Text,21:05:21,,,"(L0, T0, R0, B0)",8
179,Image,,,,"(L0, T0, R0, B0)",8
180,Text,DALY: FUNDAMENTALS OF ECONOMY ARE MOVING TO WHERE AN INTEREST RATE CUT MAY BE NECESSARY,,,"(L0, T0, R0, B0)",8
181,Text,21:05:08,,,"(L0, T0, R0, B0)",8
182,Image,,,,"(L0, T0, R0, B0)",8
183,Text,DALY: MANY POSSIBILITIES ON HOW MUCH OF TARIFFS PASS THROUGH TO CONSUMERS,,,"(L0, T0, R0, B0)",8
184,Text,21:04:46,,,"(L0, T0, R0, B0)",8
185,Image,,,,"(L0, T0, R0, B0)",8
186,Text,DALY: HAVE TO CONTINUE TO WATCH POLICIES GOING FORWARD,,,"(L0, T0, R0, B0)",8
187,Text,21:04:33,,,"(L0, T0, R0, B0)",8
188,Image,,,,"(L0, T0, R0, B0)",8
189,Text,DALY: WITHOUT TARIFFS WOULD BE CONSIDERING RATE NORMALIZATION,,,"(L0, T0, R0, B0)",8
190,Text,21:04:15,,,"(L0, T0, R0, B0)",8
191,Image,,,,"(L0, T0, R0, B0)",8
192,Text,DALY: GREAT NEWS THAT INFLATION HAS CONTINUED TO COME DOWN,,,"(L0, T0, R0, B0)",8
193,Text,21:03:36,,,"(L0, T0, R0, B0)",8
194,Image,,,,"(L0, T0, R0, B0)",8
195,Text,DALY: CONCERNS ABOUT TARIFFS IMPACT ON INFLATION AREN'T AS LARGE AS THEY WERE WHEN THEY WERE FIRST ANNOUNCED,,,"(L0, T0, R0, B0)",8
196,Text,21:02:57,,,"(L0, T0, R0, B0)",8
197,Image,,,,"(L0, T0, R0, B0)",8
198,Text,"FED'S DALY: SO FAR ECONOMY IN A GOOD PLACE, AS IS POLICY",,,"(L0, T0, R0, B0)",8
199,Text,21:02:47,,,"(L0, T0, R0, B0)",8
200,Image,,,,"(L0, T0, R0, B0)",8
201,Text,FED'S DALY: THINGS ARE BALANCE -- CNBC INTERVIEW,,,"(L0, T0, R0, B0)",8
202,Text,21:00:51,,,"(L0, T0, R0, B0)",8
203,Image,,,,"(L0, T0, R0, B0)",8
204,Text,"UNOFFICIALLY, FOR THE WEEK, THE S&P 500 FELL 0.15%, THE NASDAQ ROSE 0.21%, AND THE DOW CLIMBED 0.02%",,,"(L0, T0, R0, B0)",8
205,Text,21:00:00,,,"(L0, T0, R0, B0)",8
206,Image,,,,"(L0, T0, R0, B0)",8
207,Text,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 17.88 POINTS, OR 0.04%, AT 42,189.54",,,"(L0, T0, R0, B0)",8
208,Text,21:00:00,,,"(L0, T0, R0, B0)",8
209,Image,,,,"(L0, T0, R0, B0)",8
210,Text,"NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 102.15 POINTS, OR 0.52 PERCENT, AT 19,444.12",,,"(L0, T0, R0, B0)",8
211,Text,21:00:00,,,"(L0, T0, R0, B0)",8
212,Image,,,,"(L0, T0, R0, B0)",8
213,Text,"S&P 500 .SPX UNOFFICIALLY CLOSES DOWN 17.83 POINTS, OR 0.30 PERCENT, AT 5,963.04",,,"(L0, T0, R0, B0)",8
214,Text,21:00:00,,,"(L0, T0, R0, B0)",8
215,Image,,,,"(L0, T0, R0, B0)",8
216,Text,"DOW JONES .DJI UNOFFICIALLY CLOSES UP 12.14 POINTS, OR 0.03 PERCENT, AT 42,183.80",,,"(L0, T0, R0, B0)",8
217,Text,20:44:00,,,"(L0, T0, R0, B0)",8
218,Image,,,,"(L0, T0, R0, B0)",8
219,Text,TRUMP: LAST THING YOU WANT TO DO IS GROUND FORCES,,,"(L0, T0, R0, B0)",8
220,Separator,,,,"(L0, T0, R0, B0)",8
221,Text,NEWS FILTERS,,,"(L0, T0, R0, B0)",7
222,Button,,,,"(L0, T0, R0, B0)",7
223,Image,,leftpanel-closed,,"(L0, T0, R0, B0)",8
224,Text,NEWS SETTINGS,,,"(L0, T0, R0, B0)",7
